Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2024-03-29 Kl. 04-05;0.24955;0.24955;0.32945;0.26356;0.72940
2024-03-29 Kl. 05-06;0.24970;0.24970;0.32828;0.26262;0.72925
2024-03-29 Kl. 06-07;0.38498;0.38498;0.33239;0.26591;0.72455
2024-03-29 Kl. 07-08;0.62056;0.62056;0.33798;0.27038;0.72559
2024-03-29 Kl. 08-09;0.62556;0.62556;0.34179;0.27343;0.72690
2024-03-29 Kl. 09-10;0.64628;0.64628;0.34693;0.27754;0.72720
2024-03-29 Kl. 10-11;0.53831;0.53831;0.34943;0.27954;0.72690
2024-03-29 Kl. 11-12;0.28539;0.28539;0.34649;0.27719;0.72455
2024-03-29 Kl. 12-13;0.24970;0.24970;0.34634;0.27707;0.71971
2024-03-29 Kl. 13-14;0.29773;0.29773;0.34708;0.27766;0.71898
2024-03-29 Kl. 14-15;0.65024;0.65024;0.35486;0.28060;0.71898
2024-03-29 Kl. 15-16;0.72176;0.72176;0.61865;0.30774;0.72176
2024-03-29 Kl. 16-17;0.79550;0.79550;0.58311;0.46649;0.79550
2024-03-29 Kl. 17-18;0.82281;0.82281;0.62159;0.49727;0.82281
2024-03-29 Kl. 18-19;0.84764;0.84764;0.63981;0.49293;0.84764
2024-03-29 Kl. 19-20;0.85778;0.85778;0.66096;0.49210;0.85778
2024-03-29 Kl. 20-21;0.86115;0.86115;0.65979;0.49328;0.86115
2024-03-29 Kl. 21-22;0.85264;0.85264;0.73308;0.46896;0.85264
2024-03-29 Kl. 22-23;0.84868;0.84868;0.76334;0.43500;0.84868
2024-03-29 Kl. 23-00;0.84294;0.84294;0.80769;0.41690;0.84294
2024-03-30 Kl. 00-01;0.83486;0.83486;0.56475;0.45180;0.83486
2024-03-30 Kl. 01-02;0.82693;0.82693;0.57019;0.45615;0.82693
2024-03-30 Kl. 02-03;0.83075;0.83075;0.57004;0.45603;0.83075
2024-03-30 Kl. 03-04;0.83090;0.83090;0.65993;0.46531;0.83090
2024-03-30 Kl. 04-05;0.82649;0.82649;0.82649;0.49034;0.82649
2024-03-30 Kl. 05-06;0.82679;0.82679;0.82679;0.51138;0.82679
2024-03-30 Kl. 06-07;0.80094;0.80094;0.80094;0.52042;0.80094
2024-03-30 Kl. 07-08;0.77288;0.77288;0.77288;0.53664;0.77288
2024-03-30 Kl. 08-09;0.70503;0.70503;0.76245;0.51819;0.76245
2024-03-30 Kl. 09-10;0.67829;0.67829;0.76158;0.49152;0.76158
2024-03-30 Kl. 10-11;0.60911;0.60911;0.76128;0.42348;0.76128
2024-03-30 Kl. 11-12;0.37939;0.37939;0.75570;0.32325;0.75570
2024-03-30 Kl. 12-13;0.38938;0.38938;0.72940;0.32407;0.72940
2024-03-30 Kl. 13-14;0.36015;0.36015;0.72925;0.32149;0.72925
2024-03-30 Kl. 14-15;0.58693;0.58693;0.71854;0.32219;0.71854
2024-03-30 Kl. 15-16;0.69195;0.69195;0.71839;0.41173;0.71839
2024-03-30 Kl. 16-17;0.77479;0.77479;0.75335;0.60268;0.77479
2024-03-30 Kl. 17-18;0.83221;0.83221;0.83221;0.66577;0.83221
2024-03-30 Kl. 18-19;0.84441;0.84441;0.84441;0.67553;0.84441
2024-03-30 Kl. 19-20;0.84588;0.84588;0.84588;0.64310;0.84588
2024-03-30 Kl. 20-21;0.84470;0.84470;0.84470;0.60879;0.84470
2024-03-30 Kl. 21-22;0.84191;0.84191;0.84191;0.58047;0.84191
2024-03-30 Kl. 22-23;0.84383;0.84383;0.84383;0.53746;0.84383
2024-03-30 Kl. 23-00;0.83721;0.83721;0.83721;0.49457;0.83721
2024-03-31 Kl. 00-01;0.83986;0.83986;0.83986;0.49457;0.83986
2024-03-31 Kl. 01-03;0.83663;0.83663;0.83663;0.49375;0.83663
2024-03-31 Kl. 03-04;0.83486;0.83721;0.83486;0.49469;0.83486
2024-03-31 Kl. 04-05;0.83501;0.84235;0.83501;0.51490;0.83501
2024-03-31 Kl. 05-06;0.83604;0.83604;0.83604;0.54275;0.83604
2024-03-31 Kl. 06-07;0.83898;0.84559;0.83898;0.52371;0.83898
2024-03-31 Kl. 07-08;0.83691;0.83691;0.83691;0.57483;0.83691
2024-03-31 Kl. 08-09;0.82561;0.82561;0.82561;0.58799;0.82561
2024-03-31 Kl. 09-10;0.79080;0.79080;0.79080;0.57941;0.79080
2024-03-31 Kl. 10-11;0.73381;0.73381;0.74380;0.49398;0.74380
2024-03-31 Kl. 11-12;0.65964;0.65964;0.74513;0.41561;0.74513
2024-03-31 Kl. 12-13;0.59236;0.59236;0.74556;0.41667;0.74556
2024-03-31 Kl. 13-14;0.58855;0.58855;0.74600;0.38894;0.74600
2024-03-31 Kl. 14-15;0.63701;0.63701;0.77993;0.36050;0.74630
2024-03-31 Kl. 15-16;0.68401;0.68401;0.81121;0.38306;0.74600
2024-03-31 Kl. 16-17;0.77405;0.77405;0.81400;0.48259;0.77405
2024-03-31 Kl. 17-18;0.80945;0.80945;0.80945;0.61877;0.80945
2024-03-31 Kl. 18-19;0.84633;0.84633;0.84633;0.67706;0.84633
2024-03-31 Kl. 19-20;0.86071;0.86071;0.86071;0.68211;0.86071
2024-03-31 Kl. 20-21;0.86160;0.86160;0.86160;0.59727;0.86160
2024-03-31 Kl. 21-22;0.85778;0.85778;0.85778;0.58858;0.85778
2024-03-31 Kl. 22-23;0.84661;0.84661;0.84661;0.54381;0.84661
2024-03-31 Kl. 23-00;0.81239;0.81239;0.81239;0.51678;0.81239
2024-04-01 Kl. 00-01;0.78110;0.78110;0.78110;0.47483;0.78110
2024-04-01 Kl. 01-02;0.72925;0.72925;0.72925;0.47460;0.72925
2024-04-01 Kl. 02-03;0.69826;0.69826;0.70355;0.47013;0.70355
2024-04-01 Kl. 03-04;0.66066;0.66066;0.69959;0.44052;0.69959
2024-04-01 Kl. 04-05;0.70649;0.70649;0.58105;0.42877;0.70649
2024-04-01 Kl. 05-06;0.76289;0.76289;0.53596;0.42877;0.76289
2024-04-01 Kl. 06-07;0.81783;0.81783;0.54169;0.43335;0.81783
2024-04-01 Kl. 07-08;0.83971;0.83971;0.59119;0.47295;0.83971
2024-04-01 Kl. 08-09;0.83471;0.83471;0.62233;0.49786;0.83471
2024-04-01 Kl. 09-10;0.82399;0.82399;0.73880;0.48024;0.82399
2024-04-01 Kl. 10-11;0.79476;0.79476;0.79476;0.44052;0.79476
2024-04-01 Kl. 11-12;0.73190;0.73190;0.73190;0.35709;0.73190
2024-04-01 Kl. 12-13;0.71604;0.71604;0.71765;0.33359;0.71765
2024-04-01 Kl. 13-14;0.65773;0.65773;0.71956;0.33383;0.71956
2024-04-01 Kl. 14-15;0.65435;0.65435;0.71765;0.33347;0.71765
2024-04-01 Kl. 15-16;0.66066;0.66066;0.71765;0.33406;0.71765
2024-04-01 Kl. 16-17;0.67154;0.67154;0.71560;0.33535;0.71560
2024-04-01 Kl. 17-18;0.66008;0.66008;0.71589;0.33818;0.71589
2024-04-01 Kl. 18-19;0.71765;0.71765;0.71765;0.39845;0.71765
2024-04-01 Kl. 19-20;0.73558;0.73558;0.73558;0.42936;0.73558
2024-04-01 Kl. 20-21;0.75614;0.75614;0.75614;0.37766;0.75614
2024-04-01 Kl. 21-22;0.71956;0.71956;0.71956;0.34605;0.71956
2024-04-01 Kl. 22-23;0.65890;0.65890;0.71765;0.34429;0.71765
2024-04-01 Kl. 23-00;0.44828;0.44828;0.71750;0.34053;0.71750
2024-04-02 Kl. 00-01;0.65581;0.65581;0.66273;0.34758;0.66273
2024-04-02 Kl. 01-02;0.54874;0.54874;0.62511;0.34934;0.65861
2024-04-02 Kl. 02-03;0.24970;0.24970;0.65846;0.35016;0.65846
2024-04-02 Kl. 03-04;0.11443;0.11443;0.65920;0.35098;0.65920
2024-04-02 Kl. 04-05;0.09385;0.09385;0.66404;0.35427;0.66404
2024-04-02 Kl. 05-06;0.47619;0.47619;0.68475;0.35416;0.68475
2024-04-02 Kl. 06-07;0.74291;0.74291;0.74291;0.53958;0.74291
2024-04-02 Kl. 07-08;0.81650;0.81650;0.81650;0.59798;0.81650
2024-04-02 Kl. 08-09;0.82326;0.82326;0.82326;0.65861;0.82326
2024-04-02 Kl. 09-10;0.76319;0.76319;0.76319;0.57976;0.76319
2024-04-02 Kl. 10-11;0.68989;0.68989;0.73793;0.57753;0.73763
2024-04-02 Kl. 11-12;0.66008;0.66008;0.73586;0.57483;0.73586
2024-04-02 Kl. 12-13;0.66023;0.66023;0.72896;0.56413;0.72896
2024-04-02 Kl. 13-14;0.66023;0.66023;0.71736;0.56108;0.71736
2024-04-02 Kl. 14-15;0.68960;0.68960;0.71090;0.56002;0.71090
2024-04-02 Kl. 15-16;0.70444;0.70444;0.70444;0.56178;0.70444
2024-04-02 Kl. 16-17;0.73410;0.73410;0.73410;0.56413;0.73410
2024-04-02 Kl. 17-18;0.77024;0.77024;0.72955;0.56883;0.77024
2024-04-02 Kl. 18-19;0.81400;0.81400;0.70620;0.56496;0.81400
2024-04-02 Kl. 19-20;0.83501;0.83501;0.72925;0.55955;0.83501
2024-04-02 Kl. 20-21;0.84456;0.84456;0.76935;0.56531;0.84456
2024-04-02 Kl. 21-22;0.84940;0.84940;0.79594;0.60444;0.84940
2024-04-02 Kl. 22-23;0.84529;0.84529;0.84529;0.67623;0.84529
2024-04-02 Kl. 23-00;0.84015;0.84015;0.84015;0.67212;0.84015
2024-04-03 Kl. 00-01;0.83223;0.83223;0.75540;0.60432;0.83223
2024-04-03 Kl. 01-02;0.81525;0.81525;0.76989;0.58876;0.81525
2024-04-03 Kl. 02-03;0.79989;0.79989;0.78613;0.57413;0.79989
2024-04-03 Kl. 03-04;0.79696;0.79696;0.79286;0.60198;0.79696
2024-04-03 Kl. 04-05;0.79125;0.79125;0.79125;0.63300;0.79125
2024-04-03 Kl. 05-06;0.80574;0.80574;0.80574;0.64459;0.80574
2024-04-03 Kl. 06-07;0.82900;0.82900;0.82900;0.66320;0.82900
2024-04-03 Kl. 07-08;1.41323;1.41323;0.86455;0.69164;1.41323
2024-04-03 Kl. 08-09;1.67205;1.67205;0.87786;0.69937;1.67205
2024-04-03 Kl. 09-10;1.43313;1.43313;0.87509;0.67502;1.43313
2024-04-03 Kl. 10-11;1.52033;1.52033;0.87611;0.67783;1.52033
2024-04-03 Kl. 11-12;1.28740;1.28740;0.86748;0.69398;1.28740
2024-04-03 Kl. 12-13;1.11519;1.11519;0.86046;0.68837;1.11519
2024-04-03 Kl. 13-14;0.99463;0.99463;0.86778;0.69422;0.99463
2024-04-03 Kl. 14-15;0.87699;0.87699;0.85606;0.56663;0.87699
2024-04-03 Kl. 15-16;0.83500;0.83500;0.83500;0.58080;0.83500
2024-04-03 Kl. 16-17;0.86339;0.86339;0.83251;0.63148;0.86339
2024-04-03 Kl. 17-18;0.86821;0.86821;0.86704;0.69363;0.86821
2024-04-03 Kl. 18-19;0.92133;0.92133;0.92133;0.73706;0.92133
2024-04-03 Kl. 19-20;0.93976;0.93976;0.93976;0.75181;0.93976
2024-04-03 Kl. 20-21;0.90025;0.90025;0.90025;0.72020;0.90025
2024-04-03 Kl. 21-22;0.85534;0.85534;0.85534;0.68427;0.85534
2024-04-03 Kl. 22-23;0.84378;0.84378;0.84378;0.67502;0.84378
2024-04-03 Kl. 23-00;0.80954;0.80954;0.80954;0.64763;0.80954
2024-04-04 Kl. 00-01;0.79584;0.79584;0.79584;0.63667;0.79584
2024-04-04 Kl. 01-02;0.75920;0.75920;0.75920;0.60736;0.75920
2024-04-04 Kl. 02-03;0.73234;0.73234;0.73234;0.58587;0.73234
2024-04-04 Kl. 03-04;0.75278;0.75278;0.75278;0.60222;0.75278
2024-04-04 Kl. 04-05;0.75818;0.75818;0.75818;0.60654;0.75818
2024-04-04 Kl. 05-06;0.78941;0.78941;0.78941;0.63153;0.78941
2024-04-04 Kl. 06-07;0.83510;0.83510;0.83510;0.66808;0.83510
2024-04-04 Kl. 07-08;0.92795;0.92795;0.92795;0.74236;0.92795
2024-04-04 Kl. 08-09;1.06779;1.06779;1.06779;0.85423;1.06779
2024-04-04 Kl. 09-10;1.01758;1.01758;1.01758;0.81406;1.01758
2024-04-04 Kl. 10-11;0.98050;0.98050;0.98050;0.74843;0.98050
2024-04-04 Kl. 11-12;0.89379;0.89379;0.92050;0.73640;0.89379
2024-04-04 Kl. 12-13;0.83788;0.83788;0.84780;0.67824;0.83788
2024-04-04 Kl. 13-14;0.82065;0.82065;0.82065;0.65652;0.82065
2024-04-04 Kl. 14-15;0.81000;0.81000;0.81000;0.64800;0.81000
2024-04-04 Kl. 15-16;0.81993;0.81993;0.81993;0.65594;0.81993
2024-04-04 Kl. 16-17;0.83321;0.83321;0.83321;0.66657;0.83321
2024-04-04 Kl. 17-18;0.95130;0.95130;0.84415;0.55995;0.95130
2024-04-04 Kl. 18-19;1.06589;1.06589;0.83934;0.55995;1.06589
2024-04-04 Kl. 19-20;1.28236;1.28236;0.83613;0.55995;1.28236
2024-04-04 Kl. 20-21;0.98940;0.98940;0.84153;0.56987;0.98940
2024-04-04 Kl. 21-22;0.87495;0.87495;0.85905;0.68724;0.87495
2024-04-04 Kl. 22-23;0.83510;0.83510;0.83510;0.66808;0.83510
2024-04-04 Kl. 23-00;0.81744;0.81744;0.81744;0.65395;0.81744
2024-04-05 Kl. 00-01;0.76633;0.76633;0.67831;0.54265;0.76633
2024-04-05 Kl. 01-02;0.74240;0.74240;0.69991;0.55993;0.74240
2024-04-05 Kl. 02-03;0.72428;0.72428;0.68904;0.55123;0.72428
2024-04-05 Kl. 03-04;0.71543;0.71543;0.67469;0.53975;0.71543
2024-04-05 Kl. 04-05;0.70949;0.70949;0.68643;0.54914;0.70949
2024-04-05 Kl. 05-06;0.73834;0.73834;0.68570;0.52420;0.73834
2024-04-05 Kl. 06-07;0.77226;0.77226;0.73935;0.47409;0.77226
2024-04-05 Kl. 07-08;0.82534;0.82534;0.82534;0.48302;0.82534
2024-04-05 Kl. 08-09;0.88841;0.88841;0.88841;0.49984;0.88841
2024-04-05 Kl. 09-10;0.86941;0.86941;0.86941;0.48256;0.86941
2024-04-05 Kl. 10-11;0.76415;0.76415;0.73225;0.47908;0.76415
2024-04-05 Kl. 11-12;0.70991;0.70991;0.68614;0.47351;0.70991
2024-04-05 Kl. 12-13;0.66351;0.66351;0.69600;0.48905;0.69600
2024-04-05 Kl. 13-14;0.59784;0.59784;0.69629;0.46435;0.69629
2024-04-05 Kl. 14-15;0.53751;0.53751;0.69716;0.43001;0.69716
2024-04-05 Kl. 15-16;0.45008;0.35119;0.69745;0.36006;0.69745
2024-04-05 Kl. 16-17;0.40035;0.34191;0.69774;0.34290;0.69774
2024-04-05 Kl. 17-18;0.57985;0.57985;0.68904;0.46388;0.68904
2024-04-05 Kl. 18-19;0.71993;0.71993;0.71993;0.50727;0.71993
2024-04-05 Kl. 19-20;0.77430;0.77430;0.77430;0.51991;0.77430
2024-04-05 Kl. 20-21;0.78184;0.78184;0.78184;0.55309;0.78184
2024-04-05 Kl. 21-22;0.77430;0.77430;0.77430;0.55993;0.77430
2024-04-05 Kl. 22-23;0.76459;0.76459;0.76459;0.55993;0.76459
2024-04-05 Kl. 23-00;0.73486;0.73486;0.71949;0.55332;0.73486
2024-04-06 Kl. 00-01;0.67115;0.67115;0.67115;0.48712;0.67115
2024-04-06 Kl. 01-02;0.65403;0.65403;0.65403;0.49061;0.65403
2024-04-06 Kl. 02-03;0.65736;0.65736;0.65736;0.50302;0.65736
2024-04-06 Kl. 03-04;0.66868;0.66868;0.66868;0.52078;0.66868
2024-04-06 Kl. 04-05;0.68928;0.68928;0.68928;0.55142;0.68928
2024-04-06 Kl. 05-06;0.70001;0.70001;0.70001;0.48016;0.70001
2024-04-06 Kl. 06-07;0.72454;0.72454;0.72454;0.49896;0.72454
2024-04-06 Kl. 07-08;0.74369;0.74369;0.74369;0.51718;0.74369
2024-04-06 Kl. 08-09;0.72874;0.72874;0.72874;0.53448;0.72874
2024-04-06 Kl. 09-10;0.70001;0.68638;0.70001;0.53158;0.70001
2024-04-06 Kl. 10-11;0.56756;0.56756;0.67085;0.46414;0.67085
2024-04-06 Kl. 11-12;0.58018;0.58018;0.66316;0.48364;0.66316
2024-04-06 Kl. 12-13;0.57380;0.57380;0.66273;0.47993;0.66273
2024-04-06 Kl. 13-14;0.54899;0.54899;0.66041;0.47819;0.66041
2024-04-06 Kl. 14-15;0.50663;0.48675;0.65446;0.47795;0.65446
2024-04-06 Kl. 15-16;0.56886;0.40840;0.64735;0.47540;0.64735
2024-04-06 Kl. 16-17;0.57844;0.21763;0.64271;0.47819;0.64271
2024-04-06 Kl. 17-18;0.67144;0.61311;0.67144;0.52392;0.67144
2024-04-06 Kl. 18-19;0.74731;0.68101;0.76458;0.49861;0.74731
2024-04-06 Kl. 19-20;0.73934;0.73934;0.73934;0.48828;0.73934
2024-04-06 Kl. 20-21;0.70045;0.70045;0.70045;0.48376;0.70045
2024-04-06 Kl. 21-22;0.65315;0.65315;0.65315;0.47923;0.65315
2024-04-06 Kl. 22-23;0.59236;0.59236;0.57829;0.46263;0.62458
2024-04-06 Kl. 23-00;0.37735;0.37735;0.36648;0.29318;0.62429
2024-04-07 Kl. 00-01;0.16431;0.16431;0.36046;0.28837;0.63658
2024-04-07 Kl. 01-02;0.00145;0.00145;0.35363;0.28290;0.63644
2024-04-07 Kl. 02-03;0.00000;0.00000;0.36133;0.28906;0.62903
2024-04-07 Kl. 03-04;0.00000;0.00000;0.38213;0.30570;0.62684
2024-04-07 Kl. 04-05;0.00000;0.00000;0.41891;0.33513;0.62669
2024-04-07 Kl. 05-06;0.00000;0.00000;0.49453;0.32373;0.62669
2024-04-07 Kl. 06-07;0.00000;0.00000;0.56723;0.30768;0.62669
2024-04-07 Kl. 07-08;0.00000;0.00000;0.58554;0.31466;0.62669
2024-04-07 Kl. 08-09;0.00000;0.00000;0.58148;0.31454;0.61491
2024-04-07 Kl. 09-10;-0.00012;-0.00012;0.56780;0.31431;0.58016
2024-04-07 Kl. 10-11;-0.00186;-0.00186;0.51516;0.30942;0.60721
2024-04-07 Kl. 11-12;-0.03501;-0.03501;0.49773;0.32547;0.58031
2024-04-07 Kl. 12-13;-0.04641;-0.04641;0.51516;0.32175;0.56780
2024-04-07 Kl. 13-14;-0.07619;-0.07619;0.51516;0.31942;0.56576
2024-04-07 Kl. 14-15;-0.11632;-0.11632;0.49379;0.31942;0.55414
2024-04-07 Kl. 15-16;-0.05863;-0.05863;0.42749;0.31908;0.54963
2024-04-07 Kl. 16-17;-0.00186;-0.00186;0.39013;0.31210;0.55153
2024-04-07 Kl. 17-18;0.09815;0.09815;0.38198;0.30558;0.55399
2024-04-07 Kl. 18-19;0.56576;0.56576;0.40306;0.32245;0.56576
2024-04-07 Kl. 19-20;0.67060;0.67060;0.43433;0.34746;0.67060
2024-04-07 Kl. 20-21;0.69489;0.69489;0.43288;0.29907;0.69489
2024-04-07 Kl. 21-22;0.70100;0.70100;0.54875;0.29569;0.70100
2024-04-07 Kl. 22-23;0.66435;0.66435;0.57639;0.29372;0.66435
2024-04-07 Kl. 23-00;0.64021;0.64021;0.58380;0.28813;0.64021
2024-04-08 Kl. 00-01;0.61899;0.61899;0.41440;0.28115;0.61899
2024-04-08 Kl. 01-02;0.59253;0.59253;0.42851;0.28453;0.59253
2024-04-08 Kl. 02-03;0.58641;0.58641;0.43490;0.28220;0.58641
2024-04-08 Kl. 03-04;0.62699;0.62699;0.42880;0.28197;0.62699
2024-04-08 Kl. 04-05;0.65461;0.65461;0.43141;0.28406;0.65461
2024-04-08 Kl. 05-06;0.67176;0.67176;0.49263;0.30942;0.67176
2024-04-08 Kl. 06-07;0.71306;0.71306;0.57144;0.30186;0.71306
2024-04-08 Kl. 07-08;0.75058;0.75058;0.58773;0.30791;0.75058
2024-04-08 Kl. 08-09;0.79580;0.79580;0.67191;0.31756;0.79580
2024-04-08 Kl. 09-10;0.77791;0.77791;0.74738;0.30023;0.77791
2024-04-08 Kl. 10-11;0.76279;0.76279;0.69271;0.30581;0.76279
2024-04-08 Kl. 11-12;0.75625;0.75625;0.67599;0.33152;0.75625
2024-04-08 Kl. 12-13;0.75174;0.75174;0.68180;0.33152;0.75174
2024-04-08 Kl. 13-14;0.75174;0.75174;0.67483;0.33152;0.75174
2024-04-08 Kl. 14-15;0.75174;0.75174;0.66959;0.33152;0.75174
2024-04-08 Kl. 15-16;0.74898;0.74898;0.64370;0.33152;0.74898
2024-04-08 Kl. 16-17;0.75174;0.75174;0.65010;0.32512;0.75174
2024-04-08 Kl. 17-18;0.77138;0.77138;0.70303;0.32512;0.77138
2024-04-08 Kl. 18-19;0.78243;0.78243;0.75101;0.32512;0.78243
2024-04-08 Kl. 19-20;0.83608;0.83608;0.76818;0.33152;0.83608
2024-04-08 Kl. 20-21;0.84785;0.84785;0.76265;0.32047;0.84785
2024-04-08 Kl. 21-22;0.79508;0.79508;0.76541;0.32117;0.79508
2024-04-08 Kl. 22-23;0.77500;0.77500;0.71234;0.32105;0.77500
2024-04-08 Kl. 23-00;0.75959;0.75959;0.67220;0.41702;0.75959
2024-04-09 Kl. 00-01;0.73368;0.73368;0.60563;0.31207;0.73368
2024-04-09 Kl. 01-02;0.72816;0.72816;0.62286;0.31786;0.72816
2024-04-09 Kl. 02-03;0.72368;0.72368;0.63503;0.31902;0.72368
2024-04-09 Kl. 03-04;0.71789;0.71789;0.66125;0.33014;0.71789
2024-04-09 Kl. 04-05;0.71499;0.71499;0.71499;0.40999;0.71499
2024-04-09 Kl. 05-06;0.72165;0.72165;0.72165;0.35008;0.72165
2024-04-09 Kl. 06-07;0.80190;0.80190;0.80190;0.44545;0.80190
2024-04-09 Kl. 07-08;1.24470;1.24470;0.93936;0.46005;1.24470
2024-04-09 Kl. 08-09;1.11984;1.11984;1.11984;0.46433;1.11984
2024-04-09 Kl. 09-10;0.95283;0.95283;0.95283;0.46132;0.95283
2024-04-09 Kl. 10-11;0.73121;0.73121;0.73121;0.45993;0.73121
2024-04-09 Kl. 11-12;0.65284;0.65284;0.65284;0.45472;0.65284
2024-04-09 Kl. 12-13;0.54363;0.54363;0.58621;0.33014;0.58621
2024-04-09 Kl. 13-14;0.43514;0.21756;0.58245;0.32331;0.58245
2024-04-09 Kl. 14-15;0.39009;0.20410;0.58028;0.31207;0.58028
2024-04-09 Kl. 15-16;0.43108;0.38690;0.58013;0.31728;0.58013
2024-04-09 Kl. 16-17;0.57651;0.57535;0.57651;0.31276;0.57651
2024-04-09 Kl. 17-18;0.70065;0.70065;0.70065;0.35008;0.70065
2024-04-09 Kl. 18-19;0.73295;0.73295;0.73295;0.34208;0.73295
2024-04-09 Kl. 19-20;0.70731;0.70731;0.66574;0.33026;0.70731
2024-04-09 Kl. 20-21;0.71455;0.71455;0.57753;0.33014;0.71455
2024-04-09 Kl. 21-22;0.69848;0.69848;0.55594;0.32470;0.69848
2024-04-09 Kl. 22-23;0.65879;0.65879;0.48670;0.31902;0.65879
2024-04-09 Kl. 23-00;0.54855;0.54855;0.34678;0.27742;0.54855
2024-04-10 Kl. 00-01;0.30765;0.30765;0.33391;0.26713;0.45966
2024-04-10 Kl. 01-02;0.07644;0.07644;0.32796;0.26237;0.49100
2024-04-10 Kl. 02-03;0.07470;0.07470;0.32956;0.26365;0.48621
2024-04-10 Kl. 03-04;0.13359;0.13359;0.33594;0.26875;0.48534
2024-04-10 Kl. 04-05;0.36974;0.36974;0.42109;0.27432;0.48751
2024-04-10 Kl. 05-06;0.55048;0.55048;0.39585;0.27328;0.55048
2024-04-10 Kl. 06-07;0.59573;0.59573;0.42704;0.27827;0.59573
2024-04-10 Kl. 07-08;0.60545;0.60545;0.45749;0.28883;0.60545
2024-04-10 Kl. 08-09;0.62430;0.62430;0.52146;0.30055;0.62430
2024-04-10 Kl. 09-10;0.61966;0.61966;0.57034;0.30194;0.61966
2024-04-10 Kl. 10-11;0.61966;0.61966;0.58674;0.30159;0.61966
2024-04-10 Kl. 11-12;0.59529;0.59529;0.58384;0.30055;0.59529
2024-04-10 Kl. 12-13;0.52814;0.52814;0.48288;0.30101;0.52814
2024-04-10 Kl. 13-14;0.35915;0.35915;0.35959;0.28767;0.52103
2024-04-10 Kl. 14-15;0.11010;0.11010;0.34363;0.27490;0.52131
2024-04-10 Kl. 15-16;0.36669;0.36669;0.33653;0.26922;0.52001
2024-04-10 Kl. 16-17;0.56686;0.56686;0.33638;0.26910;0.56686
2024-04-10 Kl. 17-18;0.66680;0.66680;0.33695;0.26956;0.66680
2024-04-10 Kl. 18-19;0.72671;0.72671;0.33798;0.27038;0.72671
2024-04-10 Kl. 19-20;1.14460;1.14460;0.33943;0.27154;0.74093
2024-04-10 Kl. 20-21;2.04668;2.04668;0.33985;0.27188;0.74774
2024-04-10 Kl. 21-22;1.30474;1.30474;0.33536;0.26829;0.73919
2024-04-10 Kl. 22-23;0.72033;0.72033;0.33203;0.26562;0.72033
2024-04-10 Kl. 23-00;0.68494;0.68494;0.32608;0.26086;0.68494
2024-04-11 Kl. 00-01;0.61470;0.61470;0.23493;0.19548;0.61470
2024-04-11 Kl. 01-02;0.51780;0.51780;0.27244;0.21795;0.51780
2024-04-11 Kl. 02-03;0.35428;0.35428;0.31111;0.24889;0.35428
2024-04-11 Kl. 03-04;0.18090;0.18090;0.33429;0.26743;0.33429
2024-04-11 Kl. 04-05;0.18090;0.18090;0.37064;0.27635;0.37064
2024-04-11 Kl. 05-06;0.29838;0.29838;0.45103;0.27218;0.45103
2024-04-11 Kl. 06-07;0.54445;0.54445;0.52099;0.27369;0.54445
2024-04-11 Kl. 07-08;0.59471;0.59471;0.55705;0.26952;0.59471
2024-04-11 Kl. 08-09;0.60181;0.60181;0.51939;0.28632;0.60181
2024-04-11 Kl. 09-10;0.58341;0.58341;0.51534;0.28029;0.58341
2024-04-11 Kl. 10-11;0.56358;0.56358;0.50564;0.27299;0.56358
2024-04-11 Kl. 11-12;0.56618;0.56618;0.50621;0.28307;0.56618
2024-04-11 Kl. 12-13;0.56169;0.56169;0.50463;0.28678;0.56169
2024-04-11 Kl. 13-14;0.56516;0.56516;0.50535;0.28933;0.56516
2024-04-11 Kl. 14-15;0.57473;0.57473;0.50476;0.29292;0.57473
2024-04-11 Kl. 15-16;0.60065;0.60065;0.51433;0.29570;0.60065
2024-04-11 Kl. 16-17;0.61470;0.61470;0.49810;0.29941;0.61470
2024-04-11 Kl. 17-18;0.66061;0.66061;0.49520;0.28725;0.66061
2024-04-11 Kl. 18-19;0.68856;0.68856;0.42815;0.29663;0.68856
2024-04-11 Kl. 19-20;0.70870;0.70870;0.36775;0.29420;0.70870
2024-04-11 Kl. 20-21;0.84876;0.84876;0.34066;0.27253;0.73274
2024-04-11 Kl. 21-22;0.86629;0.86629;0.33356;0.26685;0.72405
2024-04-11 Kl. 22-23;0.84876;0.84876;0.33066;0.26453;0.69320
2024-04-11 Kl. 23-00;0.78966;0.78966;0.32314;0.25851;0.69234
2024-04-12 Kl. 00-01;0.66159;0.66159;0.32993;0.26394;0.66159
2024-04-12 Kl. 01-02;0.63296;0.63296;0.25438;0.22651;0.63296
2024-04-12 Kl. 02-03;0.61015;0.61015;0.14455;0.22651;0.61015
2024-04-12 Kl. 03-04;0.59301;0.59301;0.16663;0.22651;0.59301
2024-04-12 Kl. 04-05;0.58081;0.58081;0.32541;0.26033;0.58081
2024-04-12 Kl. 05-06;0.58110;0.58110;0.39965;0.31972;0.58110
2024-04-12 Kl. 06-07;0.59984;0.59984;0.57413;0.32298;0.59984
2024-04-12 Kl. 07-08;0.68585;0.68585;0.62730;0.32263;0.68585
2024-04-12 Kl. 08-09;0.93108;0.93108;0.60071;0.32123;0.72653
